entity_id,event_timestamp,tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,internet_service,payment_method,churn
1,2024-02-29T16:00:00,15,20.55,302.68,3,One-year,DSL,Electronic check,0
2,2024-02-09T06:00:00,70,60.79,4290.4,1,Month-to-month,DSL,Credit card,0
3,2024-04-06T02:00:00,12,56.75,651.96,1,One-year,No,Electronic check,0
4,2024-01-26T12:00:00,47,76.89,3649.39,1,Month-to-month,Fiber optic,Electronic check,0
5,2024-04-07T08:00:00,47,34.59,1579.99,2,Two-year,DSL,Mailed check,0
6,2024-02-24T18:00:00,29,87.83,2605.84,2,Month-to-month,Fiber optic,Credit card,0
7,2024-04-19T18:00:00,64,58.35,3782.01,1,Two-year,No,Bank transfer,0
8,2024-06-23T13:00:00,18,69.97,1231.12,0,Month-to-month,DSL,Mailed check,0
9,2024-03-28T03:00:00,60,71.97,4415.86,0,Two-year,DSL,Bank transfer,0
10,2024-03-17T20:00:00,1,115.29,97.35,2,Month-to-month,No,Electronic check,0
11,2024-04-02T09:00:00,48,95.78,4513.25,1,One-year,Fiber optic,Electronic check,0
12,2024-05-20T05:00:00,11,26.74,272.87,1,Two-year,DSL,Mailed check,0
13,2024-05-12T14:00:00,55,116.37,6476.01,2,Two-year,No,Bank transfer,0
14,2024-01-09T10:00:00,44,20.15,850.36,2,Two-year,No,Electronic check,0
15,2024-04-20T11:00:00,63,39.85,2589.45,2,One-year,DSL,Electronic check,0
16,2024-01-28T07:00:00,7,86.68,693.26,1,One-year,No,Bank transfer,0
17,2024-03-01T05:00:00,18,61.03,1091.78,3,Month-to-month,No,Electronic check,0
18,2024-04-26T09:00:00,52,110.05,5759.9,0,Month-to-month,Fiber optic,Bank transfer,0
19,2024-05-10T02:00:00,63,33.79,2090.7,3,Two-year,Fiber optic,Mailed check,0
20,2024-04-17T21:00:00,9,86.87,907.82,1,Two-year,DSL,Electronic check,0
21,2024-05-24T03:00:00,34,38.83,1312.43,2,One-year,DSL,Electronic check,0
22,2024-05-19T22:00:00,34,31.51,1035.24,1,Month-to-month,Fiber optic,Bank transfer,0
23,2024-06-03T06:00:00,68,18.8,1295.66,2,Month-to-month,DSL,Mailed check,0
24,2024-03-26T04:00:00,34,69.55,2326.22,2,Two-year,Fiber optic,Bank transfer,1
25,2024-05-29T17:00:00,57,74.27,4227.13,0,Two-year,DSL,Electronic check,0
26,2024-03-31T17:00:00,40,55.19,2210.66,2,One-year,DSL,Mailed check,0
